SOV, 2593, Russia, 204371
USA, 2349, United States, 212286
CHI, 1697, China, 86719
ITA, 1600, Italy, 91537
GER, 1491, Germany, 119753
CUB, 1446, Cuba, 29873
PER, 1425, Iran, 119368
BRA, 1379, Brazil, 51709
FRA, 1270, France, 51641
ENG, 1263, United Kingdom, 97507
UKR, 1195, Ukraine, 75457
POL, 1181, Poland, 83031
TUR, 1009, Turkey, 60216
BLR, 974, Belarus, 39245
SYR, 973, Syria, 49552
KOR, 968, Korea, 43804
CAN, 950, Canada, 31490
ISR, 921, Israel, 123598
AFG, 893, Afghan Northern Alliance, 32945
GRE, 890, Greece, 19866
ARM, 882, Armenia, 83694
JAP, 877, Japan, 76091
SPR, 869, Spain, 56114
SWE, 869, Sweden, 69208
DEN, 856, Denmark, 39554
RAJ, 847, India, 51007
NKO, 789, Korea DPR, 38072
SER, 789, Yugoslavia, 43928
IRQ, 726, Iraq, 61410
HOL, 709, Netherlands, 96744
EGY, 683, Egypt, 36231
BUL, 670, Bulgaria, 21620
NOR, 658, Norway, 15630
BRM, 645, Myanmar, 14092
GEO, 645, Georgia, 30748
NIG, 631, Nigeria, 21259
FIN, 622, Finland, 14256
LBA, 585, Libya, 81963
ETH, 582, Ethiopia, 10505
ROM, 581, Romania, 39781
BOS, 568, Bosnia, 21489
CZE, 566, Czech Republic, 119281
SWI, 561, Switzerland, 7128
IND, 560, Indonesia, 26387
SAU, 535, Saudi Arabia, 7234
VEN, 525, Venezuela, 28283
AST, 524, Australia, 17198
AZE, 519, Azerbaijan, 20094
MNT, 506, Montenegro, 25107
PMR, 506, Transnistria, 20358
TAI, 505, Republic of China, 10814
BOT, 498, Botswana, 11628
SIN, 495, Singapore, 24659
ALG, 482, Algeria, 112582
PAK, 467, Pakistan, 5216
EST, 466, Estonia, 19369
BEL, 458, Belgium, 4935
HEZ, 451, Hezbollah, 16547
SAF, 438, South Africa, 2922
POR, 412, Portugal, 3558
ABK, 411, Abkhazia, 9424
MEX, 403, Mexico, 6925
CHE, 401, Chechnya, 15001
AUS, 397, Austria, 2040
ARG, 394, Argentina, 4129
TAJ, 392, Tajikistan, 36303
UAE, 390, United Arab Emirates, 2363
VIE, 385, Vietnam, 4882
SLO, 381, Slovakia, 5117
SUD, 378, Sudan, 3119
CRO, 374, Croatia, 3537
YEM, 374, Yemen, 3995
BOL, 373, Bolivia, 19904
MOR, 373, Morocco, 3306
COM, 372, Comoros, 11496
SIA, 369, Thailand, 4233
CHL, 364, Chile, 2433
IRE, 363, Ireland, 1215
PHI, 354, Philippines, 3895
HUN, 352, Hungary, 3073
COL, 351, Colombia, 3251
LIT, 348, Lithuania, 4792
ERI, 344, Eritrea, 2095
ALB, 332, Albania, 1876
NZL, 327, New Zealand, 1402
UZB, 327, Uzbekistan, 1931
LAT, 322, Latvia, 3374
OMA, 322, Oman, 1466
KUR, 320, Kurdistan, 13721
KUW, 319, Kuwait, 1574
SOM, 319, Somalia, 3300
FIJ, 318, Fiji, 15225
PRU, 317, Peru, 2045
BAN, 316, Bangladesh, 1872
BHR, 315, Bahrain, 1600
MAY, 315, Malaysia, 1918
QAT, 314, Qatar, 1435
KEN, 313, Kenya, 3316
ECU, 310, Ecuador, 1768
TUN, 309, Tunisia, 3146
SLV, 307, Slovenia, 1948
KAZ, 305, Kazakhstan, 1761
LEB, 303, Lebanon, 2007
AGL, 302, Angola, 2063
JOR, 301, Jordan, 1536
CYP, 293, Cyprus, 1576
HKG, 293, Hong Kong, 17515
ZIM, 292, Zimbabwe, 902
SOO, 291, South Ossetia, 10888
NGR, 290, Niger, 578
DRC, 289, Congo DR, 1174
URG, 289, Uruguay, 1198
MAL, 286, Mali, 2879
MON, 285, Mongolia, 1099
LIB, 283, Liberia, 1649
TNZ, 283, Tanzania, 1598
CAM, 278, Cameroon, 912
MLV, 277, Moldova, 1385
UGA, 277, Uganda, 922
CAR, 276, Central African Republic, 2493
KYR, 276, Kyrgyzstan, 1221
SRI, 275, Sri Lanka, 1277
NIC, 273, Nicaragua, 809
SSU, 273, South Sudan, 1440
