tag,last_playtested
ADO,
ADS,
AFG,
AGL,
ALB,
ALG,
ANJ,
ANT,
ARG,2025-10-20
ARM,
AST,2026-01-05
AUS,
AZE,
BAH,
BAN,
BAR,
BEL,2025-06-01
BEN,
BFA,
BHR,
BHU,
BLR,
BLZ,
BOL,
BOS,
BOT,
BRA,2026-07-20
BRM,
BRU,
BUL,
BUR,
CAM,
CAN,2025-11-15
CAR,
CBD,
CDI,
CHA,
CHI,2025-09-01
CHL,
CNG,
COL,2026-04-15
COM,
COS,
CRO,
CUB,
CYP,
CZE,
DEN,
DJI,
DMI,
DOM,
DRC,
ECU,
EGU,
EGY,2026-03-25
ELS,
ENG,2026-04-20
ERI,
EST,
ETH,
FAO,
FGU,
FIJ,
FIN,
FLN,
FRA,2026-07-28
FYR,
GAB,
GAH,
GAM,
GEO,
GER,2026-06-15
GRA,
GRE,
GRN,
GUA,
GUB,
GUI,
GUY,
HAI,
HAZ,
HKG,
HLS,
HOL,
HON,
HUN,
ICE,
IEK,
IND,2026-02-15
IOM,
IRE,
IRQ,
ISR,2026-07-10
ITA,2025-12-15
JAM,
JAP,2026-05-25
JOR,
KAC,
KAR,
KAZ,
KBY,
KEN,
KIR,
KOR,
KOS,2026-04-01
KUW,
KYR,
LAO,
LAT,
LBA,
LEB,
LES,
LIB,
LIC,
LIT,
LUX,
MAC,
MAD,
MAL,
MAR,
MAU,
MAY,
MEX,2026-06-30
MIC,
MLD,
MLT,
MLV,
MLW,
MNC,
MNT,
MON,
MOR,
MOZ,
MRT,
MTE,
NAM,
NAU,
NEP,
NGR,
NHN,
NIC,
NIG,2026-03-10
NIR,
NKO,
NKR,
NLA,
NRY,
NZL,
OMA,
OMG,
PAK,2025-08-20
PAL,
PAN,
PAP,
PAR,
PAU,
PER,2025-12-01
PHI,
POL,2026-05-10
POR,
PRU,
PUK,
QAT,
RAJ,2026-05-01
ROM,
RWA,
SAF,2026-01-20
SAM,
SAO,
SAU,2025-09-15
SEN,
SER,
SEY,
SHA,
SHN,
SIA,
SIE,
SIN,
SLO,
SLV,
SMA,
SML,2025-10-01
SOL,
SOM,
SOV,2026-02-01
SPR,2026-02-20
SRI,
SSU,
STK,
STL,
STV,
SUD,
SUR,
SWA,
SWE,2026-01-10
SWI,
SYR,
TAB,
TAI,
TAJ,
TIM,
TML,
TNZ,
TOG,
TON,
TRA,
TRI,
TRK,
TUL,2026-03-01
TUN,
TUR,2026-07-05
UAE,
UGA,
UKR,2026-06-01
URG,
USA,2026-08-01
UZB,
VAN,
VEN,
VER,
VIE,
WAA,
WLC,
YEM,
ZAM,
ZAN,
ZIM,
